"cell","S6K_max","T05","ligand","EC50_reciprocal"
"EC_artery","0.082607340","0.15648259","ins"," 6.3904871"
"EC_capillary","0.096778220","0.11434030","ins"," 8.7458229"
"EC_venous","0.081314680","0.24089776","ins"," 4.1511386"
"SMC_vasc","0.087375220","0.17602164","ins"," 5.6811198"
"SMC_artery","0.042305540","0.48801467","ins"," 2.0491187"
"pericytes_st","0.034778850","0.52783666","ins"," 1.8945255"
"pericytes_ECM","0.041628050","0.64219401","ins"," 1.5571618"
"astro_Hpc","0.090478660","0.09773857","ins","10.2313758"
"astro_ctx","0.101011600","0.10164811","ins"," 9.8378614"
"microglia","0.040335210","0.18306250","ins"," 5.4626152"
"oligodegro","0.094222100","0.10164811","ins"," 9.8378614"
"OPC","0.086204310","0.14467695","ins"," 6.9119509"
"neuron","0.103815300","0.15648259","ins"," 6.3904871"
"EC_artery","0.007812148","3.33477471","pdgf"," 0.2998703"
"EC_capillary","0.007778810","3.33477471","pdgf"," 0.2998703"
"EC_venous","0.007433163","3.33477471","pdgf"," 0.2998703"
"SMC_vasc","0.090431400","0.08688923","pdgf","11.5089063"
"SMC_artery","0.077141540","0.06866982","pdgf","14.5624381"
"pericytes_st","0.067341660","0.06866982","pdgf","14.5624381"
"pericytes_ECM","0.089094440","0.06104722","pdgf","16.3807623"
"astro_Hpc","0.003153638","3.33477471","pdgf"," 0.2998703"
"astro_ctx","0.003091437","3.33477471","pdgf"," 0.2998703"
"microglia","0.001838491","3.33477471","pdgf"," 0.2998703"
"oligodegro","0.003048906","3.20651415","pdgf"," 0.3118651"
"OPC","0.072477830","0.16925157","pdgf"," 5.9083646"
"neuron","0.063707070","0.37085104","pdgf"," 2.6965005"
"EC_artery","0.067014280","0.46859370","nrg"," 2.1340449"
"EC_capillary","0.062188120","0.45057086","nrg"," 2.2194067"
"EC_venous","0.044439160","0.57011588","nrg"," 1.7540294"
"SMC_vasc","0.059477720","0.32922772","nrg"," 3.0374114"
"SMC_artery","0.025854960","0.43324121","nrg"," 2.3081830"
"pericytes_st","0.019744314","0.46859370","nrg"," 2.1340449"
"pericytes_ECM","0.021822940","0.52710418","nrg"," 1.8971582"
"astro_Hpc","0.081413060","0.19772563","nrg"," 5.0575132"
"astro_ctx","0.101523840","0.13891941","nrg"," 7.1984182"
"microglia","0.013709676","0.54818835","nrg"," 1.8241905"
"oligodegro","0.070071940","0.24056347","nrg"," 4.1569072"
"OPC","0.092654700","0.15025523","nrg"," 6.6553423"
"neuron","0.120399840","0.10150705","nrg"," 9.8515324"
