gene,EC_artery,EC_capillary,EC_venous,SMC_vasc,SMC_artery,pericytes_st,pericytes_ECM,astro_Hpc,astro_ctx,microglia,oligodegro,OPC,neuron,SE_EC_artery,SE_EC_capillary,SE_EC_venous,SE_SMC_vasc,SE_SMC_artery,SE_pericytes_st,SE_pericytes_ECM,SE_astro_Hpc,SE_astro_ctx,SE_microglia,SE_oligodegro,SE_OPC,SE_neuron
NRG1,0.00955593,0.005277045,0.004190476,0.001623377,0.007342144,0.004167209,0.004319654,0.008567208,0.004513541,0,0.004534024,0.004278075,0.352091633,0.002566667,0.00093987,0.001261066,0.000936749,0.003439282,0.001007665,0.002033736,0.001853907,0.000928999,0,0.000494532,0.001998974,0.055657357
NRG2,0.107363687,0.075128454,0.12152381,0.087662338,0.149045521,0.148847506,0.070554356,0.112703102,0.150952859,0.018181818,0.045454545,0.193582888,0.15189243,0.010002961,0.003943671,0.008066883,0.008824538,0.011995808,0.00494008,0.007658751,0.00433961,0.005138477,0.018181818,0.001453258,0.010562433,0.009167156
NRG3,0.345699831,0.339119567,0.129142857,0.159632035,0.099853157,0.121890871,0.128149748,6.50915805,6.665162153,0.145454545,0.122190048,1.788770053,4.414840637,0.021735958,0.011103281,0.009389158,0.015927646,0.010805156,0.007796545,0.011184928,0.050142207,0.051754775,0.060403703,0.002622425,0.040474705,0.087022734
NRG4,0,0.000555478,0.000380952,0,0,0.000781352,0.001439885,0.008567208,0.00551655,0,0.000876324,0.002139037,0.015438247,0,0.000277681,0.000380952,0,0,0.000318882,0.001439885,0.001195568,0.000986487,0,0.00018265,0.00106866,0.002840725
EGF,0.001124227,0.000555478,0.000761905,0.001623377,0.002202643,0.002734731,0.005039597,0.077252585,0.031761953,0,0.000800122,0.001069519,0.006474104,0.000794725,0.000277681,0.000538645,0.000936749,0.001270762,0.000623799,0.002156367,0.003459952,0.002445465,0,0.000174534,0.000756062,0.001790217
BTC,0.002248454,0,0,0.005411255,0,0,0,0.004874446,0.000835841,0,0.000228606,0.003743316,0.002988048,0.001123278,0,0,0.001707015,0,0,0,0.000896599,0.000373674,0,9.33E-05,0.001412567,0.001218345
HBEGF,0.036537381,0.03499514,0.04,0.002705628,0.000734214,0.002734731,0.004319654,0.003840473,0.0036777,0,0.006477177,0.004812834,0.005976096,0.004725259,0.00230381,0.003974366,0.001208683,0.000734214,0.000675994,0.001760312,0.000780273,0.000782711,0,0.000503893,0.001600841,0.00185906
TGFA,0.003372681,0.001110957,0.000761905,0.00487013,0.002936858,0.000911577,0.002159827,0.000886263,0.001337345,0.036363636,0.043701897,0.083957219,0.005976096,0.001588332,0.000392592,0.000538645,0.001619857,0.001466809,0.000344409,0.001246078,0.000361682,0.000472546,0.025473778,0.001344336,0.007092627,0.001720416
CAV1,0.087689713,0.053603666,0.04647619,0.161255411,0.099118943,0.080869905,0.064794816,0.002806499,0.001671682,0,0.008306028,0.007486631,0.005976096,0.00811544,0.002937252,0.004316357,0.010183194,0.009162492,0.003452496,0.007208081,0.000642998,0.000528234,0,0.000583081,0.001993915,0.00185906
EGFR,0.29792018,0.420080544,0.282666667,0.137445887,0.296622614,0.432478187,0.256299496,0.216691285,0.423938482,0.018181818,0.018707613,0.371657754,0.200199203,0.015317153,0.009499032,0.01188078,0.010482928,0.018202235,0.009144915,0.015692423,0.006488172,0.009523356,0.018181818,0.000919046,0.015928041,0.011740708
ERBB2,0.001124227,0.001527566,0.003809524,0.020021645,0.014684288,0.013152754,0.011519078,0.024519941,0.026746907,0.018181818,0.002362265,0.000534759,0.003486056,0.000794725,0.000460258,0.001317812,0.003347985,0.003576139,0.00132603,0.002864167,0.001902854,0.002139151,0.018181818,0.000299659,0.000534759,0.001315634
ERBB3,0.001686341,0.002360783,0.003809524,0.002164502,0.003671072,0.002995182,0.004319654,0.001624815,0.003176195,0,0.068124667,0.044385027,0.009462151,0.000973061,0.000635816,0.001202609,0.001081372,0.001639339,0.000623643,0.001760312,0.000489538,0.000727572,0,0.001654772,0.005167169,0.00216101
ERBB4,0.122540753,0.100680461,0.078857143,0.785714286,0.317180617,0.151061336,0.174226062,1.884047267,3.446673353,0.4,1.461022632,2.978074866,6.364541833,0.011319494,0.004452822,0.006496186,0.031014191,0.022434587,0.0059321,0.014508754,0.022770178,0.032431823,0.123364724,0.01160883,0.054806229,0.155647849
FSHR,0,0,0.000761905,0.000541126,0.000734214,0.000260451,0.001439885,0.001181684,0.001003009,0,0.000419111,0,0.001992032,0,0,0.000538645,0.000541126,0.000734214,0.000184154,0.001017785,0.000417572,0.000409306,0,0.000126343,0,0.000995271
PDGFA,0.004496908,0.004721566,0.011047619,0.104978355,0.10866373,0.043234796,0.102231821,0.011669129,0.025075226,0,0.045149737,0.011229947,0.014442231,0.001586764,0.000831415,0.002040517,0.0080944,0.009906493,0.002497115,0.009431153,0.001354519,0.002076283,0,0.001356497,0.002437428,0.002754682
PDGFB,0.042158516,0.065129843,0.04647619,0.017857143,0.020558003,0.003385858,0.004319654,0.001033973,0.001337345,0.090909091,0.000990627,0.003208556,0.003984064,0.005561605,0.00319861,0.004383111,0.003354608,0.003984153,0.000662939,0.002033736,0.000390632,0.000472546,0.046945253,0.000194185,0.001308134,0.001572719
PDGFC,0.077571669,0.197333704,0.332571429,0.164502165,0.017621145,0.014194557,0.008639309,0.088626292,0.172517553,0.145454545,0.009906271,0.254545455,0.046812749,0.007570755,0.00634997,0.013014472,0.011039711,0.004127323,0.001470274,0.002484052,0.003916217,0.005703734,0.070678205,0.000648205,0.01273513,0.005714415
PDGFD,0.011804384,0.002499653,0.001142857,0.001082251,0.000734214,0.001823154,0.00287977,0.004874446,0.006519559,0,0.007048693,0.003743316,0.033864542,0.003118054,0.000588478,0.000659577,0.00076506,0.000734214,0.000486846,0.00287977,0.000896599,0.001118319,0,0.000616373,0.001412567,0.005121253
PDGFRA,0,0.000277739,0.000380952,0,0,0.000651126,0,0.00014771,0.000167168,0,0.00038101,0.10855615,0.003486056,0,0.000196378,0.000380952,0,0,0.000291117,0,0.00014771,0.000167168,0,0.000120465,0.007545027,0.001315634
PDGFRB,0,0,0,0.341450216,0.68061674,0.764813127,0.82937365,0,0,0,0,0.025668449,0.055278884,0,0.00E+00,0,0.01572062,0.027462911,0.011627515,0.029224234,0,0,0,0,0.003735439,0.006357071
IGF1,0.000562114,0.000972087,0,0.001082251,0.000734214,0.000390676,0.000719942,0.000886263,0.000167168,0.054545455,0.000762021,0.001069519,0.077191235,0.000562114,0.00041648,0,0.00076506,0.000734214,0.000225527,0.000719942,0.000361682,0.000167168,0.030903149,0.000170331,0.000756062,0.006552573
INSR,0.36762226,0.858353007,0.421714286,0.209415584,0.254038179,0.255632244,0.271418287,0.150369276,0.174523571,0.218181818,0.399298941,0.152941176,0.290338645,0.018763156,0.016795503,0.016687685,0.012342381,0.015651626,0.006634505,0.01714436,0.005097831,0.00570823,0.07196571,0.004512985,0.009953481,0.013289324
IGF1R,1.395727937,1.67601722,1.271238095,0.666125541,0.226872247,0.180362026,0.103671706,0.36070901,0.374958208,0.236363636,0.416634916,0.377540107,0.324203187,0.040745909,0.021549633,0.029040198,0.025873705,0.015972225,0.006090707,0.010263096,0.008024887,0.008606177,0.077692463,0.005000935,0.015124186,0.014993225
IGF2R,0.053962901,0.105540897,0.129142857,0.126082251,0.220264317,0.252376612,0.311735061,0.087444609,0.082915413,0.145454545,0.066676827,0.071657754,0.062749004,0.005756617,0.00405325,0.007497779,0.008887792,0.01377859,0.006268689,0.015580657,0.003667041,0.003734095,0.060403703,0.001668368,0.006732079,0.005895948
IRS1,0.000562114,0.003055131,0.001904762,0.109848485,0.041116006,0.052220341,0.014398848,0.020236337,0.019391508,0,0.005372247,0.043315508,0.06623506,0.000562114,0.000707232,0.001007411,0.008292258,0.00586197,0.002918107,0.003651929,0.001810582,0.001829484,0,0.000473203,0.004945792,0.005897991
IRS2,0.008993817,0.018053048,0.008380952,0.046536797,0.031571219,0.034509702,0.020158387,0.179320532,0.178869943,0.2,0.088242018,0.081818182,0.072211155,0.002505493,0.001732672,0.002080537,0.005879665,0.005069666,0.002232493,0.003907422,0.005687379,0.005611469,0.065648795,0.001944173,0.006605164,0.006070866
PTEN,0.245081506,0.307735037,0.390095238,0.46969697,1.279001468,1.726657117,1.060475162,0.133530281,0.1444333,0.309090909,0.126304961,0.178074866,0.217131474,0.01320015,0.007216456,0.013013787,0.018877152,0.040722353,0.019701599,0.03351005,0.004688354,0.00490619,0.096653525,0.002329604,0.010640405,0.011653848
AKT1,0.024170883,0.022219136,0.023619048,0.018398268,0.019089574,0.02018492,0.021598272,0.014032496,0.01738549,0.072727273,0.012954355,0.016042781,0.023406375,0.003893935,0.001886126,0.003013125,0.003219293,0.00370923,0.001717266,0.004032618,0.001474752,0.001690045,0.043843504,0.000714442,0.003096836,0.003447559
AKT2,0.05227656,0.06263019,0.077333333,0.07034632,0.076358297,0.073186613,0.063354932,0.102363368,0.124038783,0.072727273,0.090413777,0.110695187,0.094123506,0.005682513,0.003126337,0.005538658,0.006469389,0.007912638,0.003353031,0.007145068,0.003969453,0.004442024,0.035339102,0.001934748,0.007899299,0.007205039
AKT3,1.255761664,1.467851687,1.155047619,1.298701299,1.255506608,1.319182185,0.906407487,0.848005908,0.836676697,0.963636364,0.669968757,0.989304813,0.710657371,0.033636008,0.018674383,0.026458324,0.033798599,0.038928236,0.016516951,0.030807742,0.013138569,0.012519066,0.161981909,0.005972781,0.025807509,0.021162651
TSC1,0.032040472,0.043882794,0.041142857,0.031926407,0.035976505,0.055215523,0.051835853,0.050073855,0.073386827,0.054545455,0.069763012,0.056684492,0.078685259,0.004676454,0.002613488,0.004060313,0.004161686,0.005153815,0.002714956,0.00620661,0.002787299,0.003588709,0.030903149,0.001668346,0.005609886,0.00629241
TSC2,0.027543564,0.033606444,0.042666667,0.031385281,0.044787078,0.044927725,0.041036717,0.057016248,0.06853895,0.054545455,0.053951078,0.057219251,0.035358566,0.003881318,0.002186487,0.004195106,0.004403295,0.006414363,0.00255703,0.005880168,0.0029911,0.003384764,0.030903149,0.001440633,0.005477921,0.004182219
