gene,EC_artery,EC_capillary,EC_venous,SMC_vasc,SMC_artery,pericytes_st,pericytes_ECM,astro_Hpc,astro_ctx,microglia,oligodegro,OPC,neuron,SE_EC_artery,SE_EC_capillary,SE_EC_venous,SE_SMC_vasc,SE_SMC_artery,SE_pericytes_st,SE_pericytes_ECM,SE_astro_Hpc,SE_astro_ctx,SE_microglia,SE_oligodegro,SE_OPC,SE_neuron
NRG1,0.005063291,0.004353101,0.00706115,0.003243881,0.007471264,0.004009164,0.006341537,0.004683435,0.004068933,0,0.003752345,0.016567263,0.521972133,0.001316835,0.00067225,0.002035161,0.001061967,0.002499421,0.000786215,0.001746218,0.000932156,0.000984969,0,0.000776804,0.005074006,0.062335068
NRG2,0.137552743,0.090844216,0.20915125,0.03892657,0.1,0.10805651,0.0369923,0.099045967,0.149353758,0,0.04162758,0.216037111,0.175777063,0.007578985,0.003022161,0.007383725,0.003877802,0.009100518,0.003723805,0.002615128,0.004376417,0.006162769,0,0.002437989,0.0122875,0.016375326
NRG3,0.255414909,0.215942339,0.118203644,0.12208788,0.092528736,0.083237877,0.097387891,6.442844753,6.870990905,0,0.07879925,2.102054341,4.397642015,0.013439627,0.006455486,0.005684629,0.009806339,0.008332812,0.003185327,0.004841876,0.068601734,0.072130743,0,0.004785105,0.054116717,0.157824776
NRG4,0.000562588,0.000713623,0.001553453,0.000589797,0,0.000668194,0.000905934,0.0065915,0.003350886,0,0.001055347,0.003976143,0.027867095,0.000397754,0.000225595,0.000468053,0.000416988,0,0.000252481,0.000369706,0.001120893,0.000894167,0,0.000351617,0.00162056,0.006547307
EGF,0.000843882,0.000713623,0.000423669,0.001474491,0.003448276,0.003150057,0.004076702,0.09366869,0.038535184,0,0.001055347,0.001325381,0.006430868,0.000487078,0.000285396,0.000244571,0.000659023,0.001405727,0.000547516,0.000811617,0.004407164,0.003146663,0,0.000351617,0.000936875,0.002618339
BTC,0.003938115,0,0,0.002654084,0.000574713,0,0,0.001561145,0.000239349,0,0,0.003313453,0,0.001123394,0,0,0.00088365,0.000574713,0,0,0.00052002,0.000239349,0,0,0.001479854,0
HBEGF,0.028410689,0.023050025,0.021889564,0.003538779,0.004022989,0.0015273,0.00150989,0.002948829,0.00239349,0,0.005745779,0.001988072,0.002143623,0.003057754,0.001349447,0.001839323,0.0011782,0.002070505,0.000381552,0.000477144,0.000755164,0.000756072,0,0.000835144,0.001147052,0.001514957
TGFA,0.003938115,0.001070435,0.000847338,0.000884695,0,0.000477281,0.000150989,0.000867303,0.000239349,0,0.033302064,0.066269052,0.001071811,0.001123394,0.000294106,0.000345802,0.000510628,0,0.000213406,0.000150989,0.000387735,0.000239349,0,0.002170378,0.006739978,0.001071811
CAV1,0.048101266,0.061728395,0.073153509,0.12031849,0.081034483,0.076174112,0.06794504,0.004336513,0.004786979,0,0.007035647,0.01259112,0.011789925,0.004103755,0.002260819,0.00341336,0.006454509,0.007170415,0.002820885,0.003500555,0.000899594,0.001067964,0,0.000935042,0.00287131,0.003847209
EGFR,0.332489451,0.543709413,0.411382573,0.162194043,0.297126437,0.509831997,0.354975087,0.166869037,0.353997128,0.25,0.016533771,0.36646786,0.210075027,0.011527802,0.007915542,0.008984285,0.008283576,0.014917894,0.008281461,0.008923667,0.005927364,0.009774812,0.25,0.001486428,0.017112116,0.02312044
