"cell","ins_max","pdgf_max","nrg_max","FC_PTEN_ins","FC_PTEN_pdgf","FC_PTEN_nrg","FC_TSC_ins","FC_TSC_pdgf","FC_TSC_nrg"
"EC_artery","10","10.0000000","10.000000","1.498906","3.432546","2.964085","1.718311","3.342688","3.094223"
"EC_capillary","10","10.0000000"," 7.599178","1.381153","3.942338","2.770409","1.542923","3.513536","2.896591"
"EC_venous","10","10.0000000"," 8.889964","1.603020","3.749947","3.074658","1.747973","3.558455","3.237699"
"SMC_vasc","10"," 0.3048125"," 6.495809","1.574122","1.260223","2.915214","1.484596","1.599737","3.045633"
"SMC_artery","10"," 0.2605550"," 8.219271","2.615783","1.464385","3.492843","1.833531","1.964371","3.452349"
"pericytes_st","10"," 0.2408978"," 7.903145","2.928895","1.572690","3.607625","1.902985","2.116423","3.507135"
"pericytes_ECM","10"," 0.2505337"," 9.615385","3.063828","1.563025","3.670245","1.971517","2.093646","3.525669"
"astro_Hpc","10","10.0000000"," 4.563869","0.939910","3.986824","2.074139","1.467696","3.744409","2.736451"
"astro_ctx","10","10.0000000"," 2.740942","1.076219","3.957544","1.870754","1.686338","3.803397","2.673518"
"microglia","10","10.0000000","10.000000","2.174791","3.964882","2.405140","2.110997","3.588508","2.760784"
"oligodegro","10","10.0000000"," 4.936281","1.334426","3.763248","2.195413","1.830042","3.753267","3.015671"
"OPC","10"," 0.4880147"," 2.740942","1.297466","1.338646","1.899814","1.609062","1.894111","2.557642"
"neuron","10"," 0.6678818"," 2.252854","1.544324","1.632431","2.010449","1.800727","2.380511","2.812669"
