"gene","EC_artery","EC_capillary","EC_venous","SMC_vasc","SMC_artery","pericytes_st","pericytes_ECM","astro_Hpc","astro_ctx","microglia","oligodegro","OPC","neuron"
"NRG","0.184218274","0.144129466","0.155275276","0.07618798","0.09243415","0.09057241","0.06545616","3.0286815261","3.2480272249","0.0289398669","0.05787973","1.0808486"," 2.3678202"
"ERBB","0.281769817","0.419732536","0.340628869","0.54883340","0.40634452","0.44882053","0.34231999","0.9716462374","2.6359364017","0.1573997011","0.84030178","2.5797279"," 3.9098558"
"PDGF","0.527401643","0.830643388","1.265011463","1.22977876","0.57711454","0.26304456","0.46443071","0.3437414440","0.6388020742","1.6680719130","0.23276332","0.9771873"," 0.4004803"
"PDGFR","0.004544501","0.001153029","0.003194179","1.48169348","2.27479679","2.75522842","2.61447665","0.0003866851","0.0007733701","0.0003866851","0.00189443","0.6209613"," 0.3740226"
"f","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000000","0.0000000000","0.0000000000","0.00000000","0.0000000"," 0.0000000"
"ff","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000000","0.0000000000","0.0000000000","0.00000000","0.0000000"," 0.0000000"
"IGF","0.016712645","0.081367341","0.080511335","0.01671265","0.01671265","0.05441982","0.01671265","0.1977799138","0.0682265193","0.0167126453","0.03342529","0.3778003","15.2760108"
"IR","1.794778436","2.456891668","1.809657425","1.01693068","0.59537689","0.60328053","0.58338352","0.5241865617","0.5275232042","0.0994581204","0.53535712","0.6032079"," 0.6302212"
"IRS","0.055419862","0.105447237","0.095063336","0.89893846","0.43404264","0.43359589","0.28260114","2.4254601792","1.6412895036","0.0277099310","0.39338323","0.9175587"," 0.8563943"
"PTEN","0.598550759","0.694751394","0.792715591","1.04896174","2.20213719","3.34372621","3.20740607","0.2834697559","0.2949070123","0.1293080190","0.25861604","0.4141935"," 0.6058981"
"AKT","0.999259159","1.185654194","0.962554577","1.02784179","0.90665266","1.06418019","0.81238989","0.7524317044","0.7279927693","0.4701882559","0.53246835","0.9811324"," 0.7111786"
"TSC","0.676529849","0.678662590","0.780417821","0.66864321","0.76496934","0.90867494","0.68053743","0.8391441786","1.1271305183","0.3243600080","0.86543437","1.0828194"," 1.0724329"
"S6K","0.877440031","0.927141431","1.151901471","1.03895372","0.74260742","0.90868795","1.08371082","0.7406953511","0.8094218728","0.1328265724","0.65696822","0.6957331"," 1.0495150"
